nest.id,nest,area,year,no.eggs,no.nestlings,prop.hatched,no.fledged,prop.fledged,clutch_initiation_date,clutch_initiation_day,box,cover
N0001,156,G1E,2016,1,1,1,1,1,21/05/2016,142,Yes,NA
N0002,124,4B1,2016,2,2,1,0,0,22/05/2016,143,Yes,NA
N0003,57,4A2,2016,2,2,1,1,0.5,23/05/2016,144,Yes,NA
N0004,302,4B2,2016,2,2,1,1,0.5,23/05/2016,144,Yes,NA
N0005,28,4A1,2016,2,2,1,1,0.5,24/05/2016,145,Yes,NA
N0006,31,4A1,2016,2,2,1,2,1,24/05/2016,145,Yes,NA
N0007,60,4A2,2016,2,2,1,1,0.5,24/05/2016,145,Yes,NA
N0008,63,4A2,2016,1,1,1,1,1,24/05/2016,145,Yes,NA
N0009,115,4B1,2016,2,2,1,1,0.5,24/05/2016,145,Yes,NA
N0010,13,4A1,2016,2,1,0.5,0,0,25/05/2016,146,Yes,NA
N0011,29,4A1,2016,2,2,1,1,0.5,25/05/2016,146,Yes,NA
N0012,30,4A1,2016,1,1,1,1,1,25/05/2016,146,Yes,NA
N0013,32,4A1,2016,2,2,1,1,0.5,25/05/2016,146,Yes,NA
N0014,56,4A2,2016,2,2,1,1,0.5,25/05/2016,146,Yes,NA
N0015,64,4A2,2016,3,2,0.666666667,1,0.5,25/05/2016,146,Yes,NA
N0016,103,4B1,2016,1,1,1,1,1,25/05/2016,146,Yes,NA
N0017,116,4B1,2016,2,2,1,1,0.5,25/05/2016,146,Yes,NA
N0018,120,4B1,2016,1,1,1,1,1,25/05/2016,146,Yes,NA
N0019,123,4B1,2016,2,2,1,1,0.5,25/05/2016,146,Yes,NA
N0020,134,4B1,2016,1,1,1,1,1,25/05/2016,146,Yes,NA
N0021,187,6SMT,2016,1,0,0,NA,NA,25/05/2016,146,Yes,NA
N0022,190,6SMT,2016,2,2,1,1,0.5,25/05/2016,146,Yes,NA
N0023,192,6SMT,2016,2,2,1,1,0.5,25/05/2016,146,Yes,NA
N0024,208,6SUT,2016,2,2,1,1,0.5,25/05/2016,146,Yes,NA
N0025,218,6SUT,2016,1,0,0,NA,NA,25/05/2016,146,Yes,NA
N0026,247,6SMT,2016,2,1,0.5,0,0,25/05/2016,146,Yes,NA
N0027,316,4B2,2016,1,1,1,1,1,25/05/2016,146,Yes,NA
N0028,602,G1E,2016,2,1,0.5,1,1,25/05/2016,146,Yes,NA
N0029,R101,G1E,2016,1,1,1,1,1,25/05/2016,146,No,2
N0030,0,4A1,2016,1,1,1,1,1,26/05/2016,147,Yes,NA
N0031,36,4A1,2016,2,2,1,1,0.5,26/05/2016,147,Yes,NA
N0032,42,4A1,2016,1,1,1,1,1,26/05/2016,147,Yes,NA
N0033,110,4B1,2016,2,2,1,1,0.5,26/05/2016,147,Yes,NA
N0034,125,4B1,2016,2,2,1,1,0.5,26/05/2016,147,Yes,NA
N0035,137,4B1,2016,2,2,1,1,0.5,26/05/2016,147,Yes,NA
N0036,179,6SMT,2016,1,1,1,1,1,26/05/2016,147,Yes,NA
N0037,186,6SMT,2016,1,0,0,NA,NA,26/05/2016,147,Yes,NA
N0038,188,6SMT,2016,1,1,1,1,1,26/05/2016,147,Yes,NA
N0039,194,6SMT,2016,2,2,1,1,0.5,26/05/2016,147,Yes,NA
N0040,209,6SUT,2016,1,1,1,1,1,26/05/2016,147,Yes,NA
N0041,212,6SUT,2016,1,1,1,1,1,26/05/2016,147,Yes,NA
N0042,R001,4A1,2016,2,2,1,1,0.5,26/05/2016,147,No,3
N0043,R010,6SMT,2016,1,1,1,0,0,26/05/2016,147,No,3
N0044,R102,G1E,2016,2,2,1,1,0.5,26/05/2016,147,Yes,NA
N0045,15,4A1,2016,2,1,0.5,1,1,27/05/2016,148,Yes,NA
N0046,47,4A2,2016,2,2,1,2,1,27/05/2016,148,Yes,NA
N0047,62,4A2,2016,2,2,1,1,0.5,27/05/2016,148,Yes,NA
N0048,101,4B1,2016,2,2,1,1,0.5,27/05/2016,148,Yes,NA
N0049,185,6SMT,2016,2,2,1,2,1,27/05/2016,148,Yes,NA
N0050,191,6SMT,2016,1,1,1,1,1,27/05/2016,148,Yes,NA
N0051,193,6SMT,2016,1,1,1,0,0,27/05/2016,148,Yes,NA
N0052,195,6SMT,2016,2,2,1,0,0,27/05/2016,148,Yes,NA
N0053,196,6SUT,2016,2,1,0.5,1,1,27/05/2016,148,Yes,NA
N0054,207,6SUT,2016,2,2,1,1,0.5,27/05/2016,148,Yes,NA
N0055,221,6SUT,2016,1,1,1,1,1,27/05/2016,148,Yes,NA
N0056,225,6NUT,2016,2,2,1,1,0.5,27/05/2016,148,Yes,NA
N0057,255,G1E,2016,1,1,1,1,1,27/05/2016,148,Yes,NA
N0058,301,4B2,2016,2,2,1,1,0.5,27/05/2016,148,Yes,NA
N0059,305,4B2,2016,2,1,0.5,1,1,27/05/2016,148,Yes,NA
N0060,310,4B2,2016,2,2,1,1,0.5,27/05/2016,148,Yes,NA
N0061,349,G1E,2016,2,2,1,1,0.5,27/05/2016,148,Yes,NA
N0062,R103,4B1,2016,1,0,0,NA,NA,27/05/2016,148,No,3
N0063,R104,6SUT,2016,2,2,1,0,0,27/05/2016,148,No,1
N0064,R107,G1E,2016,1,1,1,1,1,27/05/2016,148,Yes,NA
N0065,21,4A1,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0066,33,4A1,2016,1,1,1,1,1,28/05/2016,149,Yes,NA
N0067,38,4A1,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0068,44,4A2,2016,2,1,0.5,1,1,28/05/2016,149,Yes,NA
N0069,46,4A2,2016,1,1,1,1,1,28/05/2016,149,Yes,NA
N0070,51,4A2,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0071,55,4A2,2016,1,1,1,1,1,28/05/2016,149,Yes,NA
N0072,102,4B1,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0073,104,4B1,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0074,108,4B1,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0075,128,4B1,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0076,130,4B1,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0077,135,4B1,2016,1,1,1,0,0,28/05/2016,149,Yes,NA
N0078,206,6SUT,2016,1,1,1,1,1,28/05/2016,149,Yes,NA
N0079,313,4B2,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0080,53A,4A2,2016,1,1,1,1,1,28/05/2016,149,Yes,NA
N0081,R105,4B1,2016,2,2,1,0,0,28/05/2016,149,No,3
N0082,R106,6SUT,2016,2,1,0.5,0,0,28/05/2016,149,No,1
N0083,R108,G1E,2016,2,2,1,1,0.5,28/05/2016,149,Yes,NA
N0084,7,4A1,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0085,18,4A1,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0086,23,4A1,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0087,26,4A1,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0088,41,4A1,2016,1,1,1,1,1,29/05/2016,150,Yes,NA
N0089,43,4A2,2016,2,1,0.5,1,1,29/05/2016,150,Yes,NA
N0090,48,4A2,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0091,49,4A2,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0092,52,4A2,2016,1,1,1,0,0,29/05/2016,150,Yes,NA
N0093,54,4A2,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0094,61,4A2,2016,2,1,0.5,1,1,29/05/2016,150,Yes,NA
N0095,65,4A2,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0096,68,4A2,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0097,109,4B1,2016,2,2,1,0,0,29/05/2016,150,Yes,NA
N0098,119,4B1,2016,3,3,1,1,0.333333333,29/05/2016,150,Yes,NA
N0099,126,4B1,2016,2,2,1,2,1,29/05/2016,150,Yes,NA
N0100,132,4B1,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0101,136,4B1,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0102,210,6SUT,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0103,309,4B2,2016,2,2,1,0,0,29/05/2016,150,Yes,NA
N0104,665,6NUT,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0105,R002,4B2,2016,2,2,1,1,0.5,29/05/2016,150,No,4
N0106,R109,G1E,2016,2,2,1,1,0.5,29/05/2016,150,Yes,NA
N0107,R110,4B1,2016,2,1,0.5,0,0,29/05/2016,150,No,3
N0108,R111,6SUT,2016,2,2,1,1,0.5,29/05/2016,150,No,1
N0109,R112,G1E,2016,2,2,1,1,0.5,29/05/2016,150,No,3
N0110,1,4A1,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0111,3,4A1,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0112,5,4A1,2016,2,2,1,0,0,30/05/2016,151,Yes,NA
N0113,11,4A1,2016,2,2,1,0,0,30/05/2016,151,Yes,NA
N0114,19,4A1,2016,2,2,1,0,0,30/05/2016,151,Yes,NA
N0115,22,4A1,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0116,27,4A1,2016,2,2,1,0,0,30/05/2016,151,Yes,NA
N0117,34,4A1,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0118,53,4A2,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0119,59,4A2,2016,2,2,1,0,0,30/05/2016,151,Yes,NA
N0120,127,4B1,2016,2,2,1,0,0,30/05/2016,151,Yes,NA
N0121,189,6SMT,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0122,201,6SUT,2016,1,1,1,1,1,30/05/2016,151,Yes,NA
N0123,205,6SUT,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0124,224,6NUT,2016,2,2,1,0,0,30/05/2016,151,Yes,NA
N0125,311,4B2,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0126,314,4B2,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0127,318,4B2,2016,1,1,1,1,1,30/05/2016,151,Yes,NA
N0128,R003,4A1,2016,2,1,0.5,0,0,30/05/2016,151,No,3
N0129,R113,6SUT,2016,2,2,1,1,0.5,30/05/2016,151,No,3
N0130,R114,G1E,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0131,R115,4A2,2016,2,2,1,1,0.5,30/05/2016,151,No,1
N0132,R116,4A2,2016,2,1,0.5,1,1,30/05/2016,151,No,3
N0133,R117,4B1,2016,2,2,1,1,0.5,30/05/2016,151,No,3
N0134,R118,6SUT,2016,2,1,0.5,1,1,30/05/2016,151,No,1
N0135,R119,G1E,2016,2,2,1,1,0.5,30/05/2016,151,Yes,NA
N0136,R120,G1E,2016,1,1,1,1,1,30/05/2016,151,No,4
N0137,R121,G1E,2016,2,2,1,1,0.5,30/05/2016,151,No,3
N0138,4,4A1,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0139,14,4A1,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0140,35,4A1,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0141,50,4A2,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0142,58,4A2,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0143,69,4A2,2016,2,1,0.5,1,1,31/05/2016,152,Yes,NA
N0144,107,4B1,2016,1,1,1,0,0,31/05/2016,152,Yes,NA
N0145,113,4B1,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0146,118,4B1,2016,1,1,1,1,1,31/05/2016,152,Yes,NA
N0147,135,G1E,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0148,147,4B1,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0149,216,6SUT,2016,1,1,1,1,1,31/05/2016,152,Yes,NA
N0150,303,4B2,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0151,304,4B2,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0152,445,G1E,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0153,R004,4A1,2016,1,1,1,1,1,31/05/2016,152,No,3
N0154,R005,4A1,2016,2,2,1,1,0.5,31/05/2016,152,No,2
N0155,R006,6SMT,2016,2,2,1,0,0,31/05/2016,152,No,3
N0156,R007,G5,2016,2,2,1,1,0.5,31/05/2016,152,No,1
N0157,R021,6NUT,2016,2,2,1,1,0.5,31/05/2016,152,No,4
N0158,R027,G5,2016,1,1,1,0,0,31/05/2016,152,No,3
N0159,R122,4A2,2016,2,2,1,0,0,31/05/2016,152,No,1
N0160,R123,4B1,2016,2,2,1,1,0.5,31/05/2016,152,No,4
N0161,R124,4B1,2016,1,1,1,1,1,31/05/2016,152,No,3
N0162,R125,4B1,2016,2,2,1,0,0,31/05/2016,152,No,1
N0163,R127,G1E,2016,1,1,1,1,1,31/05/2016,152,No,3
N0164,R128,G1E,2016,2,2,1,1,0.5,31/05/2016,152,No,2
N0165,R129,G1E,2016,2,2,1,1,0.5,31/05/2016,152,Yes,NA
N0166,R134,G1E,2016,1,1,1,1,1,31/05/2016,152,No,2
N0167,R135,G1E,2016,2,1,0.5,1,1,31/05/2016,152,Yes,NA
N0168,12,4A1,2016,2,1,0.5,0,0,01/06/2016,153,Yes,NA
N0169,17,4A1,2016,2,2,1,1,0.5,01/06/2016,153,Yes,NA
N0170,39,4A1,2016,2,2,1,1,0.5,01/06/2016,153,Yes,NA
N0171,67,4A2,2016,2,2,1,1,0.5,01/06/2016,153,Yes,NA
N0172,112,4B1,2016,2,1,0.5,1,1,01/06/2016,153,Yes,NA
N0173,121,4B1,2016,2,2,1,1,0.5,01/06/2016,153,Yes,NA
N0174,133,4B1,2016,2,2,1,1,0.5,01/06/2016,153,Yes,NA
N0175,197,6SUT,2016,2,2,1,1,0.5,01/06/2016,153,Yes,NA
N0176,199,6SUT,2016,2,2,1,0,0,01/06/2016,153,Yes,NA
N0177,200,6SUT,2016,2,2,1,0,0,01/06/2016,153,Yes,NA
