nest.id,nest,area,sub_area,year,Clutch_size,no.nestlings,prop.hatched,no.fledged,prop.fledged,A2_nestling,B2_nestling,A1_nestling,Clutch_initiation_date,Clutch_initiation_day,Nestbox,cover
N0001,nest_156,G1E,G1E,2016,1,1,1,1,1,NA,NA,1,21/05/2016,142,Yes,NA
N0002,nest_124,4BS,4B1,2016,2,2,1,0,0,0,0,NA,22/05/2016,143,Yes,NA
N0003,nest_57,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,23/05/2016,144,Yes,NA
N0004,nest_302,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,23/05/2016,144,Yes,NA
N0005,nest_28,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,24/05/2016,145,Yes,NA
N0006,nest_31,4AS,4A1,2016,2,2,1,2,1,1,1,NA,24/05/2016,145,Yes,NA
N0007,nest_60,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,24/05/2016,145,Yes,NA
N0008,nest_63,4AS,4A2,2016,1,1,1,1,1,NA,NA,1,24/05/2016,145,Yes,NA
N0009,nest_115,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,24/05/2016,145,Yes,NA
N0010,nest_13,4AS,4A1,2016,2,1,0.5,0,0,0,NA,NA,25/05/2016,146,Yes,NA
N0011,nest_29,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,25/05/2016,146,Yes,NA
N0012,nest_30,4AS,4A1,2016,1,1,1,1,1,NA,NA,1,25/05/2016,146,Yes,NA
N0013,nest_32,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,25/05/2016,146,Yes,NA
N0014,nest_56,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,25/05/2016,146,Yes,NA
N0015,nest_64,4AS,4A2,2016,3,2,0.666666667,1,0.5,1,0,NA,25/05/2016,146,Yes,NA
N0016,nest_103,4BS,4B1,2016,1,1,1,1,1,NA,NA,1,25/05/2016,146,Yes,NA
N0017,nest_116,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,25/05/2016,146,Yes,NA
N0018,nest_120,4BS,4B1,2016,1,1,1,1,1,NA,NA,1,25/05/2016,146,Yes,NA
N0019,nest_123,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,25/05/2016,146,Yes,NA
N0020,nest_134,4BS,4B1,2016,1,1,1,1,1,NA,NA,1,25/05/2016,146,Yes,NA
N0021,nest_187,6S,6SUT,2016,1,0,0,NA,NA,NA,NA,NA,25/05/2016,146,Yes,NA
N0022,nest_190,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,25/05/2016,146,Yes,NA
N0023,nest_192,6S,6SUT,2016,2,2,1,1,0.5,0,1,NA,25/05/2016,146,Yes,NA
N0024,nest_208,6S,6SUT,2016,2,2,1,1,0.5,1,0,NA,25/05/2016,146,Yes,NA
N0025,nest_218,6S,6SUT,2016,1,0,0,NA,NA,NA,NA,NA,25/05/2016,146,Yes,NA
N0026,nest_247,6S,6SUT,2016,2,1,0.5,0,0,0,NA,NA,25/05/2016,146,Yes,NA
N0027,nest_316,4BS,4B2,2016,1,1,1,1,1,NA,NA,1,25/05/2016,146,Yes,NA
N0028,nest_602,G1E,G1E,2016,2,1,0.5,1,1,1,NA,NA,25/05/2016,146,Yes,NA
N0029,nest_R101,G1E,G1E,2016,1,1,1,1,1,NA,NA,1,25/05/2016,146,No,2
N0030,nest_0,4AS,4A1,2016,1,1,1,1,1,NA,NA,1,26/05/2016,147,Yes,NA
N0031,nest_36,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,26/05/2016,147,Yes,NA
N0032,nest_42,4AS,4A1,2016,1,1,1,1,1,NA,NA,1,26/05/2016,147,Yes,NA
N0033,nest_110,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,26/05/2016,147,Yes,NA
N0034,nest_125,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,26/05/2016,147,Yes,NA
